10,10,,10,10,,10,10,10,10,,10,,,,,,,10,,10,,,,,,,,,10,
,,,10,,,,,,,,,,,,,,,,,10,,,,10,,,10,,,
7.290322580645161,7.531914893617022,,7.657894736842105,6.5,7.451612903225806,7.8,7.576923076923077,7,,7,6.5,8.153846153846153,8,7,8,7.7,7.090909090909091,7.555555555555555,6,8.5,7.111111111111111,8,7,8,7.8,,8.6,7.777777777777778,7.583333333333333,8
4.701298701298701,5.186813186813187,6,4.155763239875389,4.157894736842105,5.217948717948718,2.51,4.410526315789474,4.1,2.217948717948718,6.666666666666667,4.166666666666667,4.0588235294117645,4.115384615384615,2,4.75,4.04,4.142857142857143,2.993506493506493,7.166666666666667,3.496598639455782,4.6923076923076925,4.2105263157894735,3,4.79375,4.506849315068493,7.25,6,4.170731707317073,4.346938775510204,7.285714285714286
7.484126984126984,7.7,,7.297979797979798,7.25,7.75,6.909090909090909,7.337209302325581,7.666666666666667,7.111111111111111,8.2,8.142857142857142,7.690476190476191,7.166666666666667,8.043478260869565,7.111111111111111,7.923076923076923,8.333333333333334,7.146153846153847,6,7,7.5,7.2592592592592595,7.545454545454546,7.4625,7.137254901960785,,7.333333333333333,7.9393939393939394,7.631578947368421,8.363636363636363
8.11111111111111,8.666666666666666,,8.428571428571429,,9.333333333333334,7,8.25,9,7.666666666666667,7,,7.5,,9,,6,6,8.833333333333334,7,8.166666666666666,9.5,8,,7.5,9,,,8.666666666666666,8,6
,,,8,,,,,,,,,,,,,,,,,8,,,,,8,,,,,
9.333333333333334,9.333333333333334,,,,10,,9.333333333333334,9,,,,10,,,10,,,9,,,,,,10,,,,,,
7.277777777777778,7.560975609756097,,7.098039215686274,6.909090909090909,7.303571428571429,7.4,7.25,8,7.5,7.5,7.25,6.7727272727272725,7,6.5,7.375,6.888888888888889,7.583333333333333,7.061224489795919,7,6.923076923076923,7,7.6,6.809523809523809,7.181818181818182,7.545454545454546,7,8,8.75,7.178571428571429,7.2
8.785714285714286,8.428571428571429,,8.333333333333334,9,9.4,6,8.625,9,9,,6,7.5,8.75,9.666666666666666,9.5,9.25,10,9,,9.333333333333334,8.8,,9,8.571428571428571,9,,,8.9,8,10
